"Name","VirtualSwitch","VLanId"
"366_BC01_FE","vSwitch0","366"
"434_BC01_FE","vSwitch0","434"
"432_BC01_FE","vSwitch0","432"
"Marsh XSDF LL APP FE","vSwitch0","192"
"152_BC01_FE","vSwitch0","152"
"023_BC01_FE_SS","vSwitch0","23"
"194_BC01_FE_SS","vSwitch0","194"
"193_BC01_FE_SS","vSwitch0","193"
"004_BC01_FE_SS","vSwitch0","4"
"FrontEnd Marsh Core 10.5.26.x","vSwitch0","137"
"Production App Frontend 10.5.90.x","vSwitch0","190"
"VM Network","vSwitch0","0"
"Management Network","vSwitch0","0"
"366_BC01_BE","vSwitch1","366"
"434_BC01_BE","vSwitch1","434"
"432_BC01_BE","vSwitch1","432"
"Marsh XSDF LL APP BE","vSwitch1","192"
"152_BC01_BE","vSwitch1","152"
"023_BC01_BE_SS","vSwitch1","23"
"003_BC01_BE_VSS","vSwitch1","3"
"197_BC01_BE_SS","vSwitch1","197"
"196_BC01_BE_SS","vSwitch1","196"
"194_BC01_BE_SS","vSwitch1","194"
"193_BC01_BE_SS","vSwitch1","193"
"004_BC01_BE_SS","vSwitch1","4"
"BackEnd Marsh Core 10.7.26.x","vSwitch1","137"
"Marsh PVS 10.7.91.x","vSwitch1","191"
"Production App Backend 10.7.90.x","vSwitch1","190"
"VM Network 2","vSwitch1","0"
"181_BC01_FE","vSwitch0","181"
